state_N,state_S,state_E,state_W,action,reward,next_state_N,next_state_S,next_state_E,next_state_W,done
0,1,1,1,1,-0.26,0,0,1,1,False
0,0,2,1,1,-0.29,0,0,2,1,False
0,0,2,1,1,-0.29,0,0,2,1,False
0,0,2,1,1,-0.3,0,0,2,1,False
0,0,2,1,1,-0.3,0,0,2,1,False
0,0,2,1,1,-0.31,0,0,2,1,False
0,0,2,1,1,-0.31,0,0,2,1,False
0,0,2,1,1,-0.33,0,0,2,1,False
0,0,2,1,1,-0.34,0,0,2,1,False
0,0,2,1,1,-0.34,0,0,2,1,False
0,0,2,1,1,-0.35,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,0,1.19,0,0,2,1,False
0,1,2,1,1,-1.22,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,0,2.09,0,0,2,1,False
0,0,2,1,1,-1.25,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,0,2.76,0,0,2,1,False
0,1,2,1,1,-1.03,0,0,2,1,False
0,0,2,1,1,-0.06,0,0,2,1,False
0,0,2,1,1,-0.2,0,0,2,1,False
0,0,2,1,1,-0.35,0,0,2,1,False
0,0,2,1,1,-0.35,0,0,2,1,False
0,0,2,1,1,-0.36,0,0,2,1,False
0,0,2,1,1,-0.37,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
0,0,2,1,1,-0.38,0,0,2,1,False
