state_N,state_S,state_E,state_W,action,reward,next_state_N,next_state_S,next_state_E,next_state_W,done
0,0,0,0,0,0.0,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,1,0.23,0,0,0,0,False
0,0,0,0,0,0.53,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,1,0.0,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.03,0,0,0,0,False
0,0,1,0,1,0.91,0,0,0,0,False
0,0,0,0,0,0.36,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.03,0,0,0,0,False
0,0,0,0,1,0.13,0,0,0,0,False
0,0,0,0,1,-0.02,0,0,0,0,False
0,0,0,0,0,0.28,0,0,0,0,False
0,0,0,0,1,0.14,0,0,0,0,False
0,0,0,0,0,0.21,0,0,0,0,False
0,0,0,0,0,-0.03,0,0,0,0,False
0,0,0,0,1,0.22,0,0,0,0,False
0,0,0,0,0,0.42,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,1,-0.01,0,0,0,0,False
0,0,0,0,0,0.36,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,1,0.13,0,0,0,0,False
1,0,0,0,0,0.29,0,0,0,0,False
0,0,0,0,0,0.0,0,0,0,0,False
0,0,0,0,1,0.0,0,0,0,0,False
0,0,0,0,0,0.08,0,0,0,0,False
0,0,0,0,0,0.0,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.03,0,0,0,0,False
0,0,0,0,0,0.04,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.03,0,0,0,0,False
0,0,0,0,1,0.0,0,0,0,0,False
1,0,0,0,0,0.2,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,1,0.0,0,0,0,0,False
0,0,0,0,0,0.1,0,0,0,0,False
0,0,0,0,0,0.0,0,0,0,0,False
0,0,0,0,1,-0.02,0,0,0,0,False
0,0,0,0,0,0.25,0,0,0,0,False
0,0,0,0,0,0.0,0,0,0,0,False
0,0,0,0,1,0.0,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.03,0,0,0,0,False
0,0,0,0,0,-0.04,0,0,0,0,False
0,0,0,0,0,0.03,0,0,0,0,False
0,0,0,0,1,-0.13,0,0,0,0,False
0,0,0,0,0,0.03,0,0,0,0,False
0,0,0,0,0,-0.04,0,0,0,0,False
0,0,0,0,1,0.79,0,0,0,0,False
0,0,0,0,0,0.38,0,0,0,0,False
0,0,0,0,0,0.0,0,0,0,0,False
0,0,0,0,0,0.0,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,1,0.23,0,0,0,0,False
0,0,0,0,0,0.65,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.04,0,0,0,0,False
0,0,0,0,0,-0.04,0,0,0,0,False
0,0,0,0,0,-0.04,0,0,0,0,False
0,0,0,0,0,0.01,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.03,0,0,0,0,False
0,0,0,0,0,-0.03,0,0,0,0,False
0,0,0,0,0,-0.04,0,0,0,0,False
0,0,0,0,1,0.03,0,0,0,0,False
0,0,0,0,1,-0.04,0,0,0,0,False
0,0,0,0,0,0.18,0,0,0,0,False
0,0,0,0,1,-0.19,0,0,1,0,False
0,0,0,0,0,0.14,0,0,0,0,False
0,0,0,0,1,0.2,0,0,0,0,False
0,0,0,0,0,0.41,0,0,0,0,False
0,0,0,0,0,-0.04,0,0,0,0,False
0,0,0,0,0,-0.04,0,0,0,0,False
0,0,0,0,1,0.37,0,0,0,0,False
0,0,0,0,0,0.86,0,0,0,0,False
0,0,0,0,1,-0.03,0,0,0,0,False
0,0,0,0,0,0.35,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,1,0.32,0,0,0,0,False
0,0,0,0,0,0.28,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,1,0.0,0,0,0,0,False
0,0,0,0,0,0.14,0,0,0,0,False
0,0,0,0,0,-0.01,0,0,0,0,False
0,0,0,0,1,-0.01,0,0,0,0,False
0,0,0,0,0,0.16,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.02,0,0,0,0,False
0,0,0,0,0,-0.08,0,0,0,0,False
0,0,0,0,0,-0.04,0,0,0,0,False
0,0,0,0,1,-0.04,0,0,0,0,False
0,0,0,0,0,1.36,0,0,0,0,False
0,0,0,0,1,-0.12,0,0,0,0,False
0,0,0,0,0,0.34,0,0,0,0,False
0,0,0,0,0,-0.03,0,0,0,0,False
